채널명,기존판정,실사결과,채널명(API),channel_id,구독자_실측,30일_업로드수,30일_평균조회수,최근_업로드,판정_규모,판정_활동성,최근_제목_샘플
홍카콜라 (홍준표),통과,OK,TV홍카콜라,UCfmicRK2-WdZMVQDrfcitLA,740000,6,11947,2026-07-25,Y,경계,홍준표의 좋은 세상 만들기 ep.14 장동혁 대표에게 권고한다 | 박재홍의 한판승부 다녀옴 2부 | 박재홍의 한판승부 다녀옴 1부 | 홍준표의 좋은 세상 만들기 ep.13 징계는 당 질서 확립니다 . 삼사  | 홍준표의 좋은 세상 만들기 ep.12 호남 반도체는 국토균형 발전이다. | 홍준표의 좋은 세상 만들기 ep.11 당권 경쟁과 당권 다툼 점입가경이다
정청래TV,통과,OK,정청래 TV떴다!,UCNRVHeIfz11ggS_JJvJFTnw,694000,50+,29315,2026-07-26,Y,Y,"정세현 장관이 말하다. 1인1표, 누가 흔드는가? | 정세현 장관, 자기정치란? | 정셰현 장관이 말하다. 정청래의 선당후사. | 울산 도착! | 울산에 왔습니다. | 울산에서도 알정찍. | 지하철역에서. | 대구, 많이들 오셨네요."
박주민TV,보류,OK,박주민TV,UCoFvuvMlEPICy1ClmlgzA4g,372000,9,5274,2026-07-23,Y,Y,"빼고 빼서 천만 원 | 오세훈, 항소심에서 더 나와야 | 오세훈 시장 1심 현장 | 오세훈의 3가지 '유죄 각' | 총리도 못하는 일 | 알고리즘을 넘어설 방법 | 언제까지 보완수사권 | '법률가'로서 역할만 하면 된다"
국회방송 NATV,통과,OK,NATV 국회방송,UCL-WOj1FxKR8Hlzg5tvnWKg,311000,50+,1500,2026-07-24,Y,Y,"[국회방송 생중계] 문화체육관광위원회 - 간사 선임의 건 (26.7.24 | 김민석 '신천지 의혹'…임세은 ""전당대회 유불리와 무관, 사전 경고 차원 | 국민의힘 ""선관위 종합특검 촉구""…부동산토론회 개최 (26.7.24.)  | 민주당 ""검찰 '보완수사권 완전 폐지' 당론 채택"" (26.7.24.)  | 22번째 어린이국회 열려…조 의장 ""대한민국 이끄는 씨앗 되길"" (26. | 선관위 개혁 초점…야 ""선관위 중심"" vs 여 ""행안부·대통령실도"" (2 | 국힘 ""답정너 쇼"" 비판…이재명 대통령 부동산 대토론회 공방 격화 (26 | [다시보기] ""검찰 보완수사권 완전 폐지 당론 추인"" (26.7.24.)"
채널A 뉴스TOP10,통과,OK,채널A 뉴스TOP10,UCIIpmDPVk7nzNHEUSHmvkUg,1430000,50+,19768,2026-07-26,Y,Y,"[1위 몰아보기] 장윤기 압수수색 영장에 이름 잘못 쓴 경찰? 금주의 뉴 | ""낡은 제도 해체해야, 2028 총선 준비"" / #채널A #뉴스TOP10 | 李 대통령에 직접 호소 '잔금 열사' 누구? / #채널A #뉴스TOP10 | 이어지는 부정선거 공세 ""끝까지 힘 모아달라"" / #채널A #뉴스TOP1 | [다시보기] 정청래 “이번에도 당심이 이긴다” | 2026년 7월 26일 | 정점식 “보완수사권 폐지 시 정부·여당 동반 몰락” / 채널A / 뉴스  | 이 대통령 움직인 ‘팰다르크’ 누구? / 채널A / 뉴스 TOP10 | 권영진 ‘멱살잡이’ 파장…동료 의원들도 쓴소리 / 채널A / 뉴스 TOP"
JTBC 장르만 여의도,통과,OK,장르만 여의도,UCsqWTNmoaNPvsfeCgaD7BpQ,653000,50+,115721,2026-07-26,Y,Y,"우리 같이.. 신천지 가짜 당원 잡아 볼래??? | 투표 통계 조작 물었더니 ""최종 투표율이 중요한 거 아닌가요?"" '황당  | 단일레버리지 규제, 효과 있을까?? | 유시민, 평론할 가치가 있습니까? 그렇게 생각한다는데? | 영화 '호프' 호불호의 진실!? 왜 갈렸는지 알려드립니다 | 삼전닉스 언제 들어가야 되냐고 물었더니...[7월23일 방송] | “10만원이라면서요”…생활서비스 현장서 ‘추가요금 폭탄’ | 권영세 ""장동혁, 본인 사익 추구 위해 당 운영…사퇴해야"""
CBS 한판승부,통과,OK,박재홍의 한판승부,UCV9gIwasozKlwz5U2Sa2q6g,972000,50+,123615,2026-07-25,Y,Y,"유시민의 어물전론? 박지훈도 ""하..쓰읍""[한판승부] | 정청래 작은아버지 JMS? 강성필 ""너 많이 부족해""[한판승부] | ""늦었을 때가 늦은 겁니다"" 요즘 제일 핫한 60대 정일영 | ""내 책이 | 박원석 ""그날은 제가 저쪽에 앉았어요"" 금태섭 ""최태원 회장, 나한테 맡 | 7/24(금) 다이나믹 민주당 전대 어디까지 가나 (박원석 금태섭 정옥임 | 박원석 생방중 예상 적중 ""정성호는 못견뎌""[한판승부] | 최태원 뒷얘기들은 금태섭 ""제게 맡겨주시면 싸게""[한판승부] | 정옥임 “고성 너무 커 다 들릴 정도” 박원석 ""상임위 문제 뿐일까?""["
박성태의 뉴스쇼 (CBS·舊 김현정의 뉴스쇼),통과,OK,박성태의 뉴스쇼,UC4Aa3OPkMenwTANpf0oWVRQ,1640000,50+,71121,2026-07-26,Y,Y,"[🔴뉴스연구소💡] ""정성호 장관 사의표명 / 샌프란시스코 깐부 회동 /  | 미 빅테크 5개사 숨은 빚 2450조 (김대호 박사) | 정성호 법무장관 사의, 왜? (이동학, 김종혁, 이기인) | 7/25(토) | 주말뉴스쇼 | 미 빅테크 5개 기업, 숨은 부채 245 | ""유시민의 콤플렉스는?"" 뜻 일치한 서정욱·노영희 | ""이재명이 바로 똘똘한 한 채!"" 부동산 정책에 분노한 서정욱 | [🍯댓꿀쇼] “대통령과 화해할 생각 없대!” 유시민 얘기 전해들은 서정욱 | 호남 반도체 전기·물 공급? ""2029년까지 완성 가능!"" | 김성환 기"
MBC 라디오 시사,보류,OK,MBC 라디오 시사,UCTTmtS2ljy1vyl_s-d_LEHQ,1860000,50+,36886,2026-07-26,Y,Y,"[시선집중LIVE🔴] 검찰개혁(김남희) / 스벅 노조(유승민) / 최고위 | [김치형의 뉴스하이킥] 저마다 '대통령' 앞세우는 정-김-송 / 유인태  | [이정민의 정치인싸] 세밀하게 분석해 보면, 정청래 상승세 뒤에 유시민  | [이정민의 정치인싸] 세밀하게 분석해 보면, 정청래 상승세 뒤에 유시민  | [김경일의 물음표] 모두가 농구에 미쳐있던 그 시절, 다시 안 오는 이유 | [김경일의 물음표] 최희암 전 감독 / 현 부회장의 인재 활용 비법은? | [김경일의물음표] ""요즘 축구가 난리인데..."" 최희암이 본 한국 농구의 | [이정민의 정치인싸] 오세훈 1심 쇼크, 뒤숭숭한 국힘｜국힘 윤리위 내분"
서울의소리,보류,OK,서울의소리 VoiceOfSeoul,UCUxTPRSns--l5BX2537u7Rw,1620000,50+,3873,2026-07-26,Y,Y,"[류효상의 ‘신통알’] 제 799회 7월27일 월요일ㅣ장동혁 ""이재명 정 | [초심 백은종의 희망찬 모닝콜] 이 대통령은 AI 외교, 국힘은 멱살잡이 | [생중계] 국회 산업통상자원중소벤처기업위원회 - 간사 선임의 건 | [생중계] 국회 운영위원회 - 법안 상정 등 | 🇰🇷 이재명 대통령, 미국 ‘AI 외교’ 마치고 브라질로 출발! 공군 1 | [LIVE] 악질•거짓 선동 모스탄·심하보 구속 촉구! 은평제일교회 앞  | “끝까지 서울을 지키겠다” 12·12 군사반란에 맞선 참군인 장태완 장군 | [생중계] 반드시 이재명 정부의 성공과 국민 행복 ❗전 당원 투표참여운동"
이동형TV,통과,OK,이동형TV,UCd4BxCKyMHG2J0X1SerTPaQ,794000,50+,102141,2026-07-26,Y,Y,"팔았어도 안 팔았어도 어떻게든 욕 했을 것 | 식당 밥그릇에 담배 끄던 리얼 무법의 시대 | 화가 많은 최민희에게 이동형이 건넨 조언은? | 5분만에 사라진 무료 생수, 중국 욕할 것 없다 | [하일라이트] 10억을 포기하고 판 대토 | 10억을 포기하고 팔았는데 근저당을 문제 삼아? | 유시민 김어준 최욱 빼고 ""모두 다 쓰레기?"" | TV에 나오고 유명하면서 민주당색이 옅은 사람? 찾았다!!"
고발뉴스TV,보류,OK,고발뉴스TV,UCX7-K_PSdtAiUDLEMQwrRoQ,820000,50+,158950,2026-07-26,Y,Y,국방부가 왜 이래? 전쟁날까 걱정하는 아들에게~ | 정청래의 브로멘스.. 그 진실을 밝힌다~ | 하이라이트] 신천지 대거 유입..민주당 비상..김민석 캠프 전략 전환 묘 | 민주당 경선 컷오프 분석..신천지 개입설 폭발..파장은?..이상호의 뉴스 | 정청래 튀는 여론조사 왜? 침묵의 김어준은 알고있다 | 민주당 예비경선 투표율 비상..본선이 흔들린다..대책은? | 호남일보 회장은 호남 명태균..정청래 모르는척 노룩 인사? | 유시민 잡는 탈취제 떴다..정청래 비겁한 노코멘트 파문
김어준의 다스뵈이다,보류,OK,딴지방송국,UCxvU6bRtYhNLvZleAIGa-FQ,1440000,4,8726,2026-07-22,Y,경계,"[Westy Live] Ep.32 자유를 노래하는 밴드 트루스텔러 | [Westy Live] Ep.31 세상에 선문답을 던지는 음악 이야기꾼  | [Westy Live] Ep.30 본토에서 인정한 그루브, 리치맨&그루브 | [Westy Live] Ep.29 행복을 발견하는 아티스트 남달리"
정치 읽어주는 여자,통과,OK,정치 읽어주는 여자,UC-hc6yLEjk5C5gMTJKFGlPw,697000,50+,127177,2026-07-26,Y,Y,"갑자기 다급해진 김민석 근황... 왜 그렇게 겁에 질린 걸까? | 최욱은 이미 알고있었다...언론이 기괴하다는 장인수 기자 | 이재명은 다를 줄 알았는데... 참다못한 장인수 기자의 한마디 | 소름끼치는 김남희 망언... 실명으로 박제한 황희두 이사 | ""대체 왜 이렇게 변했나?"" 계엄 영웅의 추락, 박선원 해명문 대참사.. | 박선원 정치인생 사망 위기... 유시민 조롱하더니 ""입 닫아라"" 공개 모 | 뉴시스 기자라고? 최민희 정색하더니,""이언주 텔레그램 밝혀라"" 현장 초 | 기자회견중 최민희 발칵... ""당신 뉴시스 기자라고?"" , ""이언주 텔레"
매일신문 유튜브,보류,OK,매일신문,UCGrraKQiTF-ml0KqPQ8mrUA,860000,50+,51880,2026-07-26,Y,Y,"[7/27 월 LIVE] 07시 30분 생방송 시작합니다 [이동재의 뉴스 | [현장영상] 태극기 티셔츠 입고 대구 찾은 장동혁 “애국시민이 선관위 서 | [LIVE] 장동혁, 대구 참정권 침해 규탄집회 참석…전국 순회 장외 행 | 박수민 의원이 진단하는 ""집값 못 잡고 세금만 올리는 보유세 개편 논란"" | 李의 부동산 토론회, 한마디로""동맥경화 환자한테 소화제 주고 떠난 의사"" | 與 보완수사권 폐지, 여론조사 결과는 철저히 외면 ""'국민은 잘 모를 거 | 李, 집 팔고 순방 떠나자  벌어진 놀라운 일! ""레임덕각?“ [일타뉴스 | 보완수사권, 결국 '폐지 확정'…정청래 ""기뻐서 눈물난다"" [일타뉴스]"
